# Task: cycling
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,35.50,3.84,19.75,2.77,20.25,3.27
250,33.50,12.99,16.50,4.72,22.50,1.50
500,42.00,0.00,9.00,3.67,20.25,1.30
750,41.50,1.50,12.33,0.47,18.00,2.45
1000,35.25,2.49,19.50,3.35,24.25,0.43
1250,36.00,0.00,20.25,3.34,18.25,2.38
1500,36.25,2.49,16.67,4.64,22.33,2.36
1750,34.75,5.21,18.50,4.92,19.25,4.26
2000,40.67,1.25,15.50,3.91,23.67,2.05
2250,42.67,0.47,9.00,2.00,20.25,0.83
2500,43.75,1.64,9.75,3.27,15.50,4.15
2750,35.75,3.27,17.50,3.91,18.50,3.91
3000,35.25,1.30,21.50,2.69,19.50,1.50
3250,35.25,1.30,16.50,1.12,22.25,0.83
3500,37.75,3.27,19.75,2.77,19.75,0.83
3750,39.00,2.12,16.25,5.12,21.00,7.07
4000,42.50,0.87,10.00,4.00,19.67,0.94
4250,41.50,2.50,11.25,3.03,15.75,3.90
4500,36.67,0.94,17.25,3.42,22.33,2.49
4750,36.75,0.83,22.75,1.30,19.00,2.92
5000,36.33,0.47,19.25,0.83,17.00,0.82
5250,35.00,1.41,20.33,0.94,21.75,1.79
5500,37.50,3.35,22.50,2.06,22.00,1.00
5750,38.75,1.79,18.50,4.39,21.75,3.90
6000,42.25,1.79,7.00,2.74,17.00,2.92
6250,39.00,4.24,14.75,2.59,22.25,2.05
6500,36.00,0.00,24.00,0.00,18.67,5.19
6750,36.67,0.47,19.50,1.50,19.67,0.94
7000,34.50,1.50,20.25,0.83,23.00,1.22
7250,34.75,2.95,22.00,1.58,22.00,2.12
7500,31.33,7.85,18.67,4.99,22.25,2.38
7750,41.50,0.87,11.00,5.05,21.75,1.48
8000,44.00,1.22,12.50,3.50,14.00,6.44
8250,36.75,3.27,19.00,3.39,23.75,1.79
8500,36.00,0.00,21.50,2.18,18.75,1.30
8750,33.75,1.30,18.25,1.64,22.25,0.83
9000,37.50,3.84,21.75,3.34,20.50,0.87
9250,38.75,1.79,14.50,7.37,20.50,5.36
9500,41.75,0.43,9.00,1.00,18.67,0.47
9750,41.00,1.73,11.00,0.00,15.75,2.86
10000,34.00,2.94,17.25,3.96,23.00,0.82
10250,36.00,0.00,21.25,2.38,18.00,3.67
10500,35.25,1.30,19.25,3.11,21.25,2.05
10750,34.50,1.50,20.00,4.97,22.00,3.56
11000,35.00,8.75,16.75,4.76,21.75,2.86
11250,43.00,1.58,9.50,1.12,18.00,5.79
11500,39.00,4.24,13.67,2.36,19.00,5.05
11750,36.00,0.00,21.50,2.29,19.50,3.84
12000,36.00,0.00,16.33,1.89,21.00,0.00
12250,33.75,1.30,18.50,2.29,18.50,0.50
12500,36.67,2.62,20.67,2.49,18.00,4.32
12750,39.50,1.12,15.50,5.50,21.00,1.87
13000,42.33,0.47,13.00,1.00,20.00,1.73
13250,43.00,2.83,13.33,1.89,17.00,1.41
13500,35.25,2.49,18.00,4.47,21.50,2.50
13750,36.00,0.00,18.25,3.77,19.00,1.22
14000,35.50,2.87,16.75,4.15,20.50,1.50
14250,36.00,3.67,20.25,2.68,17.75,5.85
14500,40.75,1.09,14.00,2.35,22.00,1.22
14750,43.50,1.12,11.00,1.73,16.50,4.56
15000,39.50,4.27,16.67,1.25,22.67,1.89
15250,35.25,1.30,22.00,2.83,18.33,5.79
15500,36.00,0.00,20.00,2.12,19.00,2.16
15750,36.25,1.09,21.00,0.00,22.75,1.30
16000,34.33,5.44,18.33,6.60,23.00,1.58
16250,41.33,0.94,12.00,3.00,22.00,1.00
16500,43.00,0.71,6.33,2.49,19.50,2.06
16750,43.25,2.49,11.25,4.15,12.25,2.17
17000,35.25,2.49,18.75,3.03,22.50,2.69
17250,36.00,0.00,19.00,4.06,19.00,2.83
17500,36.75,1.30,18.75,4.02,20.75,1.79
17750,35.33,4.11,21.67,1.25,19.00,5.20
18000,40.25,1.09,11.75,6.98,18.25,3.49
18250,42.33,0.47,11.00,0.00,17.00,1.00
18500,39.00,4.64,14.00,3.74,15.00,3.67
18750,35.25,1.30,20.00,4.24,20.25,2.59
19000,36.00,0.00,18.25,1.92,20.67,0.47
19250,36.75,3.90,20.25,1.48,20.25,1.30
19500,37.33,1.25,17.00,2.83,18.50,4.15
19750,41.00,1.22,13.75,1.79,22.00,0.82
20000,42.67,0.94,6.75,3.27,22.75,0.83
20250,42.75,0.83,9.00,1.41,19.25,2.49
20500,40.25,3.56,13.75,3.03,16.00,3.24
20750,36.00,0.00,21.25,3.90,19.50,2.69
