# Task: lying
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,39.67,0.47,8.75,0.43,14.67,0.47
250,39.67,0.47,8.75,0.43,14.67,0.47
500,39.33,0.47,8.00,0.82,14.25,0.43
750,39.67,0.47,7.50,0.50,13.67,1.25
1000,39.33,0.47,9.00,0.00,13.50,0.50
1250,39.80,0.75,8.40,0.49,13.25,0.83
1500,39.33,0.47,7.67,0.47,13.75,0.83
1750,39.50,0.50,8.50,0.50,13.75,1.30
2000,39.50,0.50,6.75,1.48,13.75,1.09
2250,39.50,0.50,1.50,0.50,14.25,0.43
2500,39.50,0.50,1.00,0.00,12.25,0.43
2750,39.50,0.50,2.00,0.00,11.00,0.82
3000,39.50,0.50,4.00,1.58,9.25,0.83
3250,39.50,0.50,6.00,0.00,8.00,1.00
3500,39.67,0.47,6.25,0.43,9.33,0.47
3750,39.67,0.47,6.50,1.12,9.33,1.25
4000,39.50,0.50,8.50,0.50,11.25,0.83
4250,39.50,0.50,8.00,0.00,11.67,0.47
4500,39.50,0.50,5.75,0.43,12.00,0.00
4750,39.67,0.47,4.75,0.83,11.67,0.47
5000,39.33,0.47,7.00,0.82,11.50,0.50
5250,39.50,0.50,7.00,0.00,8.50,0.50
5500,39.50,0.50,6.00,0.71,8.25,1.79
5750,39.75,0.43,4.75,0.83,9.75,0.83
6000,39.50,0.50,6.75,0.43,10.50,1.12
6250,39.50,0.50,6.50,0.87,11.50,0.50
6500,39.67,0.47,5.50,0.50,12.00,0.00
6750,39.50,0.50,5.50,0.87,10.00,0.71
7000,39.50,0.50,5.67,1.25,9.33,0.47
7250,39.50,0.50,6.25,0.43,7.50,0.50
7500,39.50,0.50,6.50,0.50,7.75,0.83
7750,39.50,0.50,9.00,0.00,9.33,0.47
8000,39.67,0.47,8.00,0.71,10.00,0.82
8250,39.50,0.50,8.00,1.58,11.25,0.83
8500,39.67,0.47,8.50,0.50,11.00,0.82
8750,39.33,0.47,9.33,0.47,10.75,1.09
9000,39.67,0.47,8.25,0.83,11.67,0.47
9250,39.50,0.50,5.50,1.12,9.00,0.71
9500,39.50,0.50,5.33,2.05,8.33,0.94
9750,39.50,0.50,7.00,0.82,10.33,1.25
