# Task: sitting
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,41.50,0.50,2.67,2.36,8.75,0.83
250,41.50,0.50,1.00,0.00,7.50,0.87
500,41.50,0.50,0.00,0.00,7.75,0.43
750,41.50,0.50,1.50,0.50,8.00,0.00
1000,41.50,0.50,2.00,0.00,7.33,0.47
1250,41.50,0.50,1.50,0.50,7.25,0.83
1500,41.50,0.50,1.00,0.00,8.25,1.48
1750,41.50,0.50,7.25,4.38,11.25,1.30
2000,41.75,0.43,17.67,2.05,14.00,1.41
2250,42.50,0.50,21.00,0.00,7.00,5.10
2500,43.50,0.50,20.75,0.43,8.00,3.54
2750,43.67,0.47,21.25,0.43,19.00,1.41
3000,43.50,0.50,22.50,0.50,19.00,1.00
3250,43.67,0.47,23.33,0.47,18.00,0.00
3500,43.75,0.43,23.25,0.43,18.25,0.43
3750,43.50,0.50,21.50,0.50,19.75,1.30
4000,43.50,0.50,19.50,1.12,19.25,2.49
4250,43.25,0.83,18.25,0.43,10.25,4.21
4500,42.00,0.00,17.75,0.43,9.50,0.50
4750,41.75,0.43,8.25,5.07,6.75,2.05
5000,41.50,0.50,1.67,0.94,10.50,0.50
5250,41.50,0.50,4.67,0.47,10.33,0.47
5500,41.50,0.50,4.67,0.47,8.50,0.50
5750,41.50,0.50,1.33,0.47,9.25,0.83
6000,41.67,0.47,6.67,4.19,10.00,2.00
6250,41.50,0.50,17.50,1.66,12.00,0.82
6500,42.00,0.00,19.33,0.47,9.67,1.25
6750,42.50,0.50,20.00,0.71,15.50,3.91
7000,43.25,0.43,21.25,0.43,19.50,1.12
7250,43.50,0.50,23.00,0.71,17.50,0.50
7500,43.50,0.50,23.25,0.43,18.00,0.00
7750,43.50,0.50,23.00,0.71,17.75,0.43
8000,43.50,0.50,22.00,0.71,18.75,1.30
8250,43.50,0.50,20.50,0.50,18.00,2.45
8500,42.75,0.83,20.75,0.43,10.00,2.00
8750,41.50,0.50,17.00,3.24,13.67,1.25
9000,41.25,0.83,10.00,1.22,10.00,0.71
9250,41.50,0.50,11.00,0.82,9.33,0.47
9500,41.50,0.50,10.75,0.43,8.00,0.71
9750,41.50,0.50,9.40,0.49,7.20,0.40
10000,41.50,0.50,7.33,0.47,7.50,0.50
10250,41.67,0.47,8.33,0.47,8.33,1.25
10500,41.50,0.50,7.50,0.50,9.00,1.22
10750,41.33,0.47,8.33,1.25,9.00,1.22
11000,41.50,0.50,11.33,0.47,10.33,1.25
11250,41.50,0.50,5.00,4.00,9.67,0.47
11500,41.50,0.50,1.00,0.00,8.00,0.82
11750,41.67,0.47,5.00,2.00,9.33,1.89
12000,42.00,0.00,17.00,3.67,15.50,0.50
12250,42.00,0.00,21.00,0.00,8.25,4.38
12500,43.00,0.82,22.00,1.00,15.00,3.56
12750,42.75,0.83,16.75,3.03,21.00,0.71
13000,43.25,0.43,13.75,1.09,21.00,0.00
13250,43.50,0.50,12.25,0.43,21.00,0.00
13500,43.50,0.50,14.75,0.43,21.25,0.43
13750,43.00,0.71,17.75,1.48,21.00,0.00
14000,43.00,0.71,20.75,0.43,20.50,1.12
14250,42.75,0.83,19.75,0.43,18.75,1.92
14500,41.75,1.09,18.25,2.05,9.00,3.39
14750,41.25,0.83,7.50,2.60,10.50,2.50
15000,41.50,0.50,6.67,0.47,14.00,0.82
15250,41.50,0.50,9.00,1.00,15.25,0.83
15500,41.67,0.47,11.75,1.09,14.33,0.47
15750,41.50,0.50,15.50,0.50,13.25,0.43
16000,41.50,0.50,13.00,1.58,11.75,0.43
16250,41.67,0.47,11.00,2.45,11.75,1.09
16500,41.80,0.40,13.80,1.17,11.75,1.79
16750,42.00,0.00,0.00,0.00,17.25,2.49
17000,42.00,0.00,11.00,3.56,20.00,1.22
17250,44.25,0.83,8.67,2.05,19.00,1.22
17500,45.00,0.00,14.00,2.55,21.67,0.94
17750,44.75,0.43,18.67,0.94,18.33,1.70
18000,45.00,0.00,21.00,0.00,21.00,0.00
18250,44.75,0.43,20.00,1.22,21.75,0.83
18500,44.50,0.50,17.33,0.47,20.75,0.83
18750,44.50,0.50,18.00,0.00,20.75,0.43
19000,44.50,0.50,18.00,0.00,21.25,0.43
19250,44.33,0.47,17.33,0.47,21.25,0.43
19500,44.50,0.50,17.50,0.50,21.75,0.83
19750,44.25,0.43,15.50,0.50,23.00,1.22
20000,44.50,0.50,16.25,0.83,22.50,0.87
20250,44.50,0.50,16.00,0.71,23.00,0.71
20500,44.50,0.50,16.00,0.71,22.50,0.50
20750,44.50,0.50,17.00,0.00,22.33,0.47
21000,44.67,0.47,17.25,0.43,23.00,0.82
21250,44.50,0.50,17.75,0.43,23.00,0.71
21500,44.50,0.50,17.00,0.00,23.25,0.83
21750,44.50,0.50,18.00,0.00,23.50,0.50
22000,44.33,0.47,18.00,0.00,23.00,0.71
22250,44.50,0.50,17.25,0.83,23.50,0.50
22500,44.50,0.50,16.25,0.43,23.25,0.43
22750,44.25,0.83,17.50,0.50,23.50,0.50
