# Task: standing
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,46.50,0.50,11.50,0.50,20.33,0.94
250,46.50,0.50,12.00,0.00,20.25,0.43
500,46.50,0.50,12.00,0.00,20.50,0.50
750,46.50,0.50,12.75,0.43,19.50,0.50
1000,46.50,0.50,13.25,0.43,18.75,0.43
1250,46.50,0.50,13.50,0.50,19.00,1.00
1500,46.50,0.50,13.25,0.43,19.00,0.71
1750,46.67,0.47,12.25,0.43,19.67,0.47
2000,46.50,0.50,12.00,0.00,19.50,0.50
2250,46.50,0.50,12.00,0.00,19.33,1.25
2500,46.50,0.50,12.00,0.00,20.00,0.82
2750,46.50,0.50,11.25,0.43,20.00,0.00
3000,46.67,0.47,11.00,0.00,20.33,0.47
3250,46.00,0.63,10.75,0.43,20.20,0.75
3500,46.67,0.47,11.00,0.00,20.67,0.47
3750,46.50,0.50,11.50,0.50,20.50,0.50
4000,46.33,0.47,12.00,0.00,20.50,0.50
4250,46.50,0.50,12.00,0.00,20.25,0.43
4500,46.25,0.43,12.00,0.00,20.25,0.83
4750,46.00,0.00,12.00,0.00,20.25,0.43
5000,46.50,0.50,12.00,0.00,18.33,0.47
5250,46.50,0.50,13.25,0.83,17.50,0.50
5500,46.50,0.50,13.25,0.83,13.50,1.50
5750,46.50,0.50,12.00,0.00,11.00,1.41
6000,46.50,0.50,11.00,0.00,10.25,1.48
6250,46.67,0.47,11.00,0.82,14.75,0.83
6500,46.25,0.83,16.33,1.25,20.00,1.41
6750,46.25,0.83,18.25,0.43,19.75,1.30
7000,46.00,0.82,18.75,0.43,18.67,0.94
7250,46.50,0.50,18.00,0.71,21.00,0.71
7500,46.40,0.49,12.00,1.87,19.40,1.36
7750,46.75,0.43,11.75,0.43,16.25,2.05
8000,47.00,0.00,12.00,0.00,13.00,0.00
8250,46.75,0.43,9.75,0.83,12.50,1.50
8500,46.50,0.50,11.00,1.58,16.50,1.12
8750,46.75,0.43,16.00,1.00,20.00,1.41
9000,46.33,0.47,18.00,0.00,22.00,0.71
9250,46.50,0.50,17.00,1.22,22.00,0.71
9500,47.00,0.00,13.00,1.41,19.25,1.30
9750,47.25,0.43,11.67,0.47,14.25,1.09
10000,47.00,0.00,11.67,0.47,7.75,2.49
10250,47.25,0.43,9.75,0.43,7.75,3.34
10500,47.00,0.71,11.00,1.22,13.50,2.96
10750,46.75,0.43,12.00,1.87,18.00,1.22
11000,46.50,0.50,16.00,0.82,21.00,0.82
11250,46.50,0.50,17.60,0.49,22.60,0.80
11500,46.50,0.50,15.00,0.82,20.67,0.47
11750,47.00,0.00,12.25,0.43,16.75,1.64
12000,46.75,0.43,16.50,1.12,14.75,1.30
12250,46.67,0.47,16.25,0.43,12.33,3.40
12500,45.50,0.50,12.75,2.49,17.00,0.71
12750,45.00,0.00,4.50,2.50,17.00,1.22
13000,45.00,0.00,15.50,2.50,17.75,1.09
13250,45.00,0.00,16.50,1.66,20.50,0.87
13500,46.50,0.50,13.75,1.48,20.25,1.30
13750,47.25,0.43,15.50,0.87,17.25,0.83
14000,47.50,0.50,16.75,1.09,16.00,2.55
14250,47.50,0.50,14.00,2.45,12.00,3.67
14500,47.50,0.50,12.50,2.50,11.25,0.83
14750,46.50,0.50,11.00,3.54,13.25,1.30
15000,46.00,1.00,6.50,3.64,18.25,2.17
15250,45.50,0.50,13.67,1.25,21.25,1.09
15500,45.50,0.50,14.00,1.00,22.00,0.71
15750,45.50,0.50,12.25,0.43,20.00,1.22
16000,46.00,0.00,4.67,1.25,17.00,1.22
16250,46.50,0.50,10.33,1.25,11.33,1.25
16500,46.50,0.50,8.25,1.30,15.25,0.83
16750,46.50,0.50,9.00,2.16,19.75,0.83
17000,46.00,0.71,14.75,0.43,20.50,0.87
17250,46.00,0.82,17.50,0.87,21.33,0.47
17500,45.50,0.50,18.00,0.00,20.75,0.43
17750,46.00,0.82,15.00,0.00,18.50,0.50
18000,46.50,0.50,8.75,3.96,17.00,1.22
18250,46.75,0.43,10.50,2.60,16.00,0.71
18500,46.50,0.50,11.50,2.18,16.75,0.43
18750,45.75,0.83,9.50,2.06,14.75,1.09
19000,45.25,0.43,12.25,0.43,17.75,0.43
19250,45.00,0.00,15.00,0.71,17.50,0.50
19500,45.00,0.00,13.75,1.30,17.25,1.30
19750,45.25,0.43,6.67,3.30,16.75,1.09
20000,46.25,0.43,2.00,0.00,14.75,0.43
20250,46.25,0.83,4.00,0.00,16.00,2.55
20500,45.50,0.50,14.00,0.82,19.50,0.87
