# Task: walking
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,32.25,5.76,14.00,4.36,18.00,2.12
250,37.75,5.07,15.50,3.20,14.75,1.79
500,34.50,2.60,20.00,4.74,20.50,2.87
750,23.75,5.36,11.75,6.22,14.25,3.77
1000,41.25,3.77,15.00,6.63,11.50,2.69
1250,36.75,1.30,13.50,3.35,15.00,2.55
1500,37.00,1.22,17.50,4.92,12.50,3.64
1750,38.50,7.09,11.50,6.80,16.00,4.74
2000,27.50,6.42,16.33,2.62,14.67,3.86
2250,26.00,3.61,15.75,2.95,14.25,6.30
2500,40.33,1.25,14.75,2.17,15.00,2.45
2750,35.00,1.22,17.00,1.22,14.75,3.27
3000,35.00,2.92,18.75,3.11,16.50,2.96
3250,37.67,8.34,15.00,2.45,14.33,8.18
3500,33.25,1.79,15.67,2.87,13.00,3.74
3750,32.75,6.94,14.75,2.17,15.00,2.45
4000,42.75,4.15,20.25,0.83,12.00,2.12
4250,41.50,1.50,11.50,4.61,14.00,4.69
4500,33.25,8.64,11.75,7.85,11.75,2.17
4750,31.25,4.71,17.25,3.03,17.50,3.77
5000,25.50,3.35,13.25,1.09,18.25,1.79
5250,32.50,10.50,15.00,1.63,18.67,1.70
5500,38.25,0.83,19.00,4.18,15.25,2.38
5750,36.25,3.56,19.33,2.36,15.33,1.25
6000,42.33,2.87,16.00,2.55,21.00,0.00
6250,33.33,2.05,12.25,3.03,18.67,3.30
6500,23.67,2.36,9.67,1.25,15.33,4.03
6750,37.67,5.44,16.00,1.41,10.00,6.00
7000,39.00,3.74,17.50,3.64,13.50,3.20
7250,33.50,2.87,11.00,1.22,17.50,3.35
7500,36.00,4.24,14.33,0.47,15.67,2.62
7750,33.25,2.95,12.75,1.92,12.25,6.87
8000,32.25,7.46,17.50,2.60,16.50,3.91
8250,39.50,3.84,18.00,2.55,18.00,1.73
